trade_number,entry_month_ui,close_month_ist,trade_name,signal_id,entry_time_ui,entry_time_raw_utc,entry_time_ist_from_raw,ui_vs_raw_entry_minutes,trade_closed_time_raw_utc,trade_closed_time_ist,trade_duration_minutes_raw,capital_allocated_pct,lots_bought,margin_required,trade_pnl,trade_pnl_pct,signal_pnl,signal_pnl_pct,exit_event_number,exit_event_name,exit_event_id,exit_event_time_raw_utc,exit_event_time_ist,exit_event_lots,exit_event_pnl,leg_number,entry_side,exit_side,symbol,underlying,exchange,exchange_token,instrument_type,product_type,expiry_raw_utc,expiry_date_ist,expiry_time_ist,days_to_expiry_from_raw_entry,strike_price,option_type,leg_quantity_lots,lot_size_multiplier,trade_leg_total_qty,exit_event_qty,entry_price,exit_event_price,final_exit_price,avg_exit_price,target_price,stop_loss,event_entry_value,event_exit_value,event_leg_realized_pnl,spread_type,short_strike,long_strike,strike_width,entry_short_price,entry_long_price,entry_net_credit,exit_event_short_price,exit_event_long_price,exit_event_net_debit,source_url
1,2025-09,2025-09,Credit Spread 25300 / 25600 Short:22/09/2025 05:33,6981b86ba2d779f2330d2bbf,2025-09-22 05:33:00,2025-09-22T05:33:00Z,2025-09-22 11:03:00,330,2025-09-22T08:59:59Z,2025-09-22 14:29:59,207,100,4,70000,10024.55,3.13,2454.022589,1.795249,1,Target 1,6a9b2a7ec750fabcd3cdfdc7,2025-09-22T08:59:59Z,2025-09-22 14:29:59,2,4908.05,2,BUY,SELL,NIFTY23SEP2525600CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-23T00:00:00.000Z,2025-09-23,2025-09-23 05:30:00,0.76875,25600,CE,1,75,300,150,3.48,3.12,3.12,3.12,0,0,522,468,-54,CALL_CREDIT_SPREAD,25300,25600,300,73.71,3.48,70.23,39.24,3.12,36.12,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
1,2025-09,2025-09,Credit Spread 25300 / 25600 Short:22/09/2025 05:33,6981b86ba2d779f2330d2bbf,2025-09-22 05:33:00,2025-09-22T05:33:00Z,2025-09-22 11:03:00,330,2025-09-22T08:59:59Z,2025-09-22 14:29:59,207,100,4,70000,10024.55,3.13,2454.022589,1.795249,1,Target 1,6a9b2a7ec750fabcd3cdfdc7,2025-09-22T08:59:59Z,2025-09-22 14:29:59,2,4908.05,1,SELL,BUY,NIFTY23SEP2525300CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-23T00:00:00.000Z,2025-09-23,2025-09-23 05:30:00,0.76875,25300,CE,1,75,300,150,73.71,39.24,39.24,39.24,0,0,11056.5,5886,5170.5,CALL_CREDIT_SPREAD,25300,25600,300,73.71,3.48,70.23,39.24,3.12,36.12,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
1,2025-09,2025-09,Credit Spread 25300 / 25600 Short:22/09/2025 05:33,6981b86ba2d779f2330d2bbf,2025-09-22 05:33:00,2025-09-22T05:33:00Z,2025-09-22 11:03:00,330,2025-09-22T08:59:59Z,2025-09-22 14:29:59,207,100,4,70000,10024.55,3.13,2454.022589,1.795249,2,Final Exit,6a9b2a7ec750fabcd3cdfdca,2025-09-22T08:59:59Z,2025-09-22 14:29:59,2,5116.5,2,BUY,SELL,NIFTY23SEP2525600CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-23T00:00:00.000Z,2025-09-23,2025-09-23 05:30:00,0.76875,25600,CE,1,75,300,150,3.48,3.12,3.12,3.12,0,0,522,468,-54,CALL_CREDIT_SPREAD,25300,25600,300,73.71,3.48,70.23,39.24,3.12,36.12,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
1,2025-09,2025-09,Credit Spread 25300 / 25600 Short:22/09/2025 05:33,6981b86ba2d779f2330d2bbf,2025-09-22 05:33:00,2025-09-22T05:33:00Z,2025-09-22 11:03:00,330,2025-09-22T08:59:59Z,2025-09-22 14:29:59,207,100,4,70000,10024.55,3.13,2454.022589,1.795249,2,Final Exit,6a9b2a7ec750fabcd3cdfdca,2025-09-22T08:59:59Z,2025-09-22 14:29:59,2,5116.5,1,SELL,BUY,NIFTY23SEP2525300CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-23T00:00:00.000Z,2025-09-23,2025-09-23 05:30:00,0.76875,25300,CE,1,75,300,150,73.71,39.24,39.24,39.24,0,0,11056.5,5886,5170.5,CALL_CREDIT_SPREAD,25300,25600,300,73.71,3.48,70.23,39.24,3.12,36.12,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
2,2025-09,2025-09,Credit Spread 24650 / 24950 Short:29/09/2025 06:08,6981b86ba2d779f2330d2bc2,2025-09-29 06:08:00,2025-09-29T06:08:00Z,2025-09-29 11:38:00,330,2025-09-30T09:29:59Z,2025-09-30 14:59:59,1642,100,4,70000,31253.71,9.77,7760.10667,5.576816,1,Target 1,6aa464fdae024f12303d8fb9,2025-09-30T09:29:59Z,2025-09-30 14:59:59,2,15520.21,1,SELL,BUY,NIFTY30SEP2524650CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-30T00:00:00.000Z,2025-09-30,2025-09-30 05:30:00,0.744444,24650,CE,1,75,300,150,119.79,5.4,5.4,5.4,0,0,17968.5,810,17158.5,CALL_CREDIT_SPREAD,24650,24950,300,119.79,9.85,109.94,5.4,0.35,5.05,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
2,2025-09,2025-09,Credit Spread 24650 / 24950 Short:29/09/2025 06:08,6981b86ba2d779f2330d2bc2,2025-09-29 06:08:00,2025-09-29T06:08:00Z,2025-09-29 11:38:00,330,2025-09-30T09:29:59Z,2025-09-30 14:59:59,1642,100,4,70000,31253.71,9.77,7760.10667,5.576816,1,Target 1,6aa464fdae024f12303d8fb9,2025-09-30T09:29:59Z,2025-09-30 14:59:59,2,15520.21,2,BUY,SELL,NIFTY30SEP2524950CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-30T00:00:00.000Z,2025-09-30,2025-09-30 05:30:00,0.744444,24950,CE,1,75,300,150,9.85,0.35,0.35,0.35,0,0,1477.5,52.5,-1425,CALL_CREDIT_SPREAD,24650,24950,300,119.79,9.85,109.94,5.4,0.35,5.05,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
2,2025-09,2025-09,Credit Spread 24650 / 24950 Short:29/09/2025 06:08,6981b86ba2d779f2330d2bc2,2025-09-29 06:08:00,2025-09-29T06:08:00Z,2025-09-29 11:38:00,330,2025-09-30T09:29:59Z,2025-09-30 14:59:59,1642,100,4,70000,31253.71,9.77,7760.10667,5.576816,2,Final Exit,6aa464fdae024f12303d8fbc,2025-09-30T09:29:59Z,2025-09-30 14:59:59,2,15733.5,1,SELL,BUY,NIFTY30SEP2524650CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-30T00:00:00.000Z,2025-09-30,2025-09-30 05:30:00,0.744444,24650,CE,1,75,300,150,119.79,5.4,5.4,5.4,0,0,17968.5,810,17158.5,CALL_CREDIT_SPREAD,24650,24950,300,119.79,9.85,109.94,5.4,0.35,5.05,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
2,2025-09,2025-09,Credit Spread 24650 / 24950 Short:29/09/2025 06:08,6981b86ba2d779f2330d2bc2,2025-09-29 06:08:00,2025-09-29T06:08:00Z,2025-09-29 11:38:00,330,2025-09-30T09:29:59Z,2025-09-30 14:59:59,1642,100,4,70000,31253.71,9.77,7760.10667,5.576816,2,Final Exit,6aa464fdae024f12303d8fbc,2025-09-30T09:29:59Z,2025-09-30 14:59:59,2,15733.5,2,BUY,SELL,NIFTY30SEP2524950CE,NIFTY,NSE,,OPT,INTRADAY,2025-09-30T00:00:00.000Z,2025-09-30,2025-09-30 05:30:00,0.744444,24950,CE,1,75,300,150,9.85,0.35,0.35,0.35,0,0,1477.5,52.5,-1425,CALL_CREDIT_SPREAD,24650,24950,300,119.79,9.85,109.94,5.4,0.35,5.05,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
3,2025-10,2025-10,Credit Spread 25050 / 25350 Short:06/10/2025 08:15,6981b86ba2d779f2330d2bc5,2025-10-06 08:15:00,2025-10-06T08:15:00Z,2025-10-06 13:45:00,330,2025-10-07T04:17:59Z,2025-10-07 09:47:59,1203,100,4,70000,-13293.71,-4.15,-3323.426782,-2.262227,1,Final Exit,6aa464fdae024f12303d8f7a,2025-10-07T04:17:59Z,2025-10-07 09:47:59,4,-13293.71,2,BUY,SELL,NIFTY07OCT2525350CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-07T00:00:00.000Z,2025-10-07,2025-10-07 05:30:00,0.65625,25350,CE,1,75,300,300,3.94,3.27,3.27,3.27,0,0,1182,981,-201,CALL_CREDIT_SPREAD,25050,25350,300,86.03,3.94,82.09,128.22,3.27,124.95,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
3,2025-10,2025-10,Credit Spread 25050 / 25350 Short:06/10/2025 08:15,6981b86ba2d779f2330d2bc5,2025-10-06 08:15:00,2025-10-06T08:15:00Z,2025-10-06 13:45:00,330,2025-10-07T04:17:59Z,2025-10-07 09:47:59,1203,100,4,70000,-13293.71,-4.15,-3323.426782,-2.262227,1,Final Exit,6aa464fdae024f12303d8f7a,2025-10-07T04:17:59Z,2025-10-07 09:47:59,4,-13293.71,1,SELL,BUY,NIFTY07OCT2525050CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-07T00:00:00.000Z,2025-10-07,2025-10-07 05:30:00,0.65625,25050,CE,1,75,300,300,86.03,128.22,128.22,128.22,0,0,25809,38466,-12657,CALL_CREDIT_SPREAD,25050,25350,300,86.03,3.94,82.09,128.22,3.27,124.95,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
4,2025-10,2025-10,Credit Spread 25300 / 25600 Short:10/10/2025 05:51,6981b86ba2d779f2330d2bc8,2025-10-10 05:51:00,2025-10-10T05:51:00Z,2025-10-10 11:21:00,330,2025-10-14T09:29:59Z,2025-10-14 14:59:59,5979,100,4,70000,31934.93,9.98,7930.467043,5.523144,1,Target 1,6aa464fdae024f12303d8fc2,2025-10-14T09:29:59Z,2025-10-14 14:59:59,2,15860.93,2,BUY,SELL,NIFTY14OCT2525600CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-14T00:00:00.000Z,2025-10-14,2025-10-14 05:30:00,3.75625,25600,CE,1,75,300,150,10.55,0.15,0.15,0.15,0,0,1582.5,22.5,-1560,CALL_CREDIT_SPREAD,25300,25600,300,117.81,10.55,107.26,0.25,0.15,0.1,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
4,2025-10,2025-10,Credit Spread 25300 / 25600 Short:10/10/2025 05:51,6981b86ba2d779f2330d2bc8,2025-10-10 05:51:00,2025-10-10T05:51:00Z,2025-10-10 11:21:00,330,2025-10-14T09:29:59Z,2025-10-14 14:59:59,5979,100,4,70000,31934.93,9.98,7930.467043,5.523144,1,Target 1,6aa464fdae024f12303d8fc2,2025-10-14T09:29:59Z,2025-10-14 14:59:59,2,15860.93,1,SELL,BUY,NIFTY14OCT2525300CE,NIFTY,NSE,,OPT,INTRADAY,2025-10-14T00:00:00.000Z,2025-10-14,2025-10-14 05:30:00,3.75625,25300,CE,1,75,300,150,117.81,0.25,0.25,0.25,0,0,17671.5,37.5,17634,CALL_CREDIT_SPREAD,25300,25600,300,117.81,10.55,107.26,0.25,0.15,0.1,https://algos.dhan.co/managers/stratzy/ratio-fluxer-credit-spread-expiry/698075eaf867bf12b20442e5?tab=past-trades
